"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Создание документа Заказ с вводом количества","1","0","0","0","0"
"","","Загрузка товаров","1","0","0","0","0"
"","","Создание заказа","1","0","0","0","0"
"","","заполнение заказа","0","0","1","0","0"
"","","Заполнение Заказа покупателя","1","0","0","0","0"
"","","Создание возврата от покупателя","0","0","1","0","0"
"","","загрузка заказа","1","0","0","0","0"
"","","Создание документа Заказ","1","0","0","0","0"
"","","создание элементов номенклатуры","1","0","0","0","0"
"","","<описание сценария>","1","0","0","0","0"
