"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 06 23:21:28 MSK 2023","Mon Nov 06 23:21:35 MSK 2023","6385","","","","","","Создание документа Заказ с вводом количества",""
"failed","Mon Nov 06 23:22:10 MSK 2023","Mon Nov 06 23:22:13 MSK 2023","2425","","","","","","Загрузка товаров",""
"failed","Mon Nov 06 23:21:51 MSK 2023","Mon Nov 06 23:21:59 MSK 2023","7338","","","","","","Создание заказа",""
"passed","Mon Nov 06 23:20:53 MSK 2023","Mon Nov 06 23:21:10 MSK 2023","16774","","","","","","заполнение заказа",""
"failed","Mon Nov 06 23:22:02 MSK 2023","Mon Nov 06 23:22:08 MSK 2023","5263","","","","","","Заполнение Заказа покупателя",""
"passed","Mon Nov 06 23:21:38 MSK 2023","Mon Nov 06 23:21:44 MSK 2023","5951","","","","","","Создание возврата от покупателя",""
"failed","Mon Nov 06 23:21:44 MSK 2023","Mon Nov 06 23:21:48 MSK 2023","3254","","","","","","загрузка заказа",""
"failed","Mon Nov 06 23:21:17 MSK 2023","Mon Nov 06 23:21:25 MSK 2023","7349","","","","","","Создание документа Заказ",""
"failed","Mon Nov 06 23:21:10 MSK 2023","Mon Nov 06 23:21:14 MSK 2023","3692","","","","","","создание элементов номенклатуры",""
"failed","Mon Nov 06 23:22:16 MSK 2023","Mon Nov 06 23:22:23 MSK 2023","7234","","","","","","<описание сценария>",""
